Year,Winners,Score,Runners-up,Score
2020,Cuala,Feb-20,Ballyboden St Enda's,Jan-18
2019[12],Cuala,Jan-18,St Brigid's,Jan-14
2018[13],Ballyboden St Endas,Feb-15,Kilmacud Crokes,Jan-15
2017[14],Cuala,Jan-13,Kilmacud Crokes,0-13
2016[15],Cuala,Jan-15,Kilmacud Crokes,0-15
2015[16],Cuala,Mar-14,St. Jude's,0-13
2014[17],Kilmacud Crokes,Feb-16,St. Jude's,Jan-15
2013[18],Ballyboden St Enda's,0-13,Lucan Sarsfields,0-10
2012[19],Kilmacud Crokes,02-Oct,Cuala,0-09
2011[20],Ballyboden St Enda's,03-Dec,O'Toole's,0-09
2010,Ballyboden St Enda's,Mar-17,St Vincent's,01-Oct
2009,Ballyboden St Enda's,Jan-16,Craobh Chiaráin,01-Dec
2008,Ballyboden St Enda's,0-17,Kilmacud Crokes,0-07
2007,Ballyboden St Enda's,Feb-13,St Vincent's,01-May
2006,Craobh Chiaráin,02-Oct,Ballyboden St Enda's,02-Aug
2005,UCD,,St Vincent's,
2004,UCD,,Ballyboden St Enda's,
2003,Craobh Chiaráin,,St Brigids,
2002,O'Toole's,,Craobh Chiaráin,
2001,Craobh Chiaráin,,Ballyboden St Endas,
2000,UCD,,St Vincents,
1999,Faughs,,Craobh Chiaráin,
1998,Craobh Chiaráin 4-16,,Crumlin 2-21,
1997,O'Toole's,,St Vincents,
1996,O'Toole's,,Kilmacud Crokes,
1995,O'Toole's,,St Vincents,
1994,Cuala,,Crumlin,
1993,St Vincents 3-10,,Crumlin 2-11,
1992,Faughs,,Craobh Chiaráin,
1991,Cuala,,Craobh Chiaráin,
1990,O'Toole's,,St Vincents,
1989,Cuala 2-08,,St Vincents 1-05,
1988,St Vincents,,Ballyboden St Endas,
1987,Faughs,,Cuala,
1986,Faughs,,Erins Isle,
1985,Kilmacud Crokes,,O'Toole's,
1984,O'Toole's,,Kilmacud Crokes,
1983,Erins Isle,,Ballyboden St Endas,
1982,St Vincents,,O'Toole's,
1981,St Vincents,,O'Toole's,
1980,St Brendan's,,Faughs,
1979,Crumlin,,St Brendan's,
1978,Crumlin,,Faughs,
1977,O'Toole's,,Faughs,
1976,Kilmacud Crokes,,Craobh Chiaráin,
1975,St Vincents,,Craobh Chiaráin,
1974,Kilmacud Crokes,,Faughs,
1973,Faughs,,,
1972,Faughs,,,
1971,Craobh Chiaráin,,St Vincents,
1970,Faughs,,,
1969,O'Tooles,,Faughs,
1968,UCD,,,
1967,St Vincents,,,
1966,Crokes,,St Columbas,
1965,Young Irelands,,UCD,
1964,St Vincents,,UCD,
1963,Junior Board Selection,,Young Irelands,
1962,St Vincents,,St Columbas,
1961,UCD,,St Vincents-,
1960,St Vincents,,,
1959,New Irelands,,,
1958,New Irelands,,,
1957,St Vincents,,,
1956,St Columbas,,,
1955,St Vincents,,,
1954,St Vincent's,,,
1953,St Vincent's,,Civil Service,
1952,Faughs,,Civil Service,
1951,Eoghan Ruadhs,,St Vincent's,
1950,Faughs,,,
1949,Young Irelands,,,
1948,UCD,,,
1947,UCD,,Faughs,
1946,Faughs,,,
1945,Faughs,,,
1944,Faughs,,Eoghan Ruadhs,
1943,Young Irelands,06-Oct,UCD,03-Mar
1942,Young Irelands,,,
1941,Faughs,,Eoghan Ruadhs,
1940,Faughs,,Eoghan Ruadhs,
1939,Faughs,,Eoghan Ruadhs,
1938,Army Metro,,,
1937,Young Irelands,,,
1936,Faughs,,,
1935,Army Metro,,,
1934,UCD,,,
1933,Army Metro,,,
1932,Young Irelands,,UCD,
1931,Garda,,,
1930,Faughs,,,
1929,Garda,,,
1928,Garda,,,
1927,Garda,,,
1926,Garda,,,
1925,Garda,,,
1924,Kickhams,,Young Irelands,
1923,Faughs,,,
1922,Faughs,,,
1921,Faughs,,,
1920,Faughs,,,
1919,Collegians,,,
1918,Collegians,,,
1917,Collegians,,Faughs,
1916,Commercials,,,
1915,Faughs,,,
1914,Faughs,,,
1913,Thomas Davis,,,
1912,Rapparees,,,
1911,Faughs,,,
1910,Faughs,,,
1909,Commercials,,,
1908,Kickhams,,,
1907,Commercials,,,
1906,Faughs,,,
1905,Commercials,,,
1904,Faughs,,,
1903,Faughs,,,
1902,No Competition,,,
1901,Faughs,,,
1900,Faughs,,,
1899,Commercials,,,
1898,Commercials,,,
1897,Commercials,,,
1896,Commercials,,,
1895,Commercials,,,
1894,Rapparees,,,
1893,Davitts,,,
1892,Faughs,,,
1891,Rapparees,,,
1890,Kickhams,,,
1889,Kickhams,,,
1888,Metropolitans,,,
